Financial Year,Agriculture & Allied Services (in Rs. Cr.) at 2004-05 Prices,Agriculture (in Rs. Cr.) at 2004-05 Prices,Industry (in Rs. Cr.) at 2004-05 Prices,Mining and Quarrying (in Rs. Cr.) at 2004-05 Prices,Manufacturing (in Rs. Cr.) at 2004-05 Prices,Services (in Rs. Cr.) at 2004-05 Prices
1951-52,147216.0,118877.0,47768.0,5772.0,25889.0,84799.0
1951-52,147308.86,118975.9,47767.42,5774.66,25907.0,84851.78
1951-52,147401.72,119074.8,47766.84,5777.32,25925.0,84904.56
1951-52,147494.58,119173.7,47766.26,5779.98,25943.0,84957.34
1951-52,147587.44,119272.6,47765.68,5782.64,25961.0,85010.12
1951-52,147680.3,119371.5,47765.1,5785.3,25979.0,85062.9
1951-52,147773.16,119470.4,47764.52,5787.96,25997.0,85115.68
1951-52,147866.02,119569.3,47763.94,5790.62,26015.0,85168.46
1951-52,147958.88,119668.2,47763.36,5793.28,26033.0,85221.24
1951-52,148051.74,119767.1,47762.78,5795.94,26051.0,85274.02
1951-52,148144.6,119866.0,47762.2,5798.6,26069.0,85326.8
1951-52,148237.46,119964.9,47761.62,5801.26,26087.0,85379.58
1951-52,148330.32,120063.8,47761.04,5803.92,26105.0,85432.36
1951-52,148423.18,120162.7,47760.46,5806.58,26123.0,85485.14
1951-52,148516.04,120261.6,47759.88,5809.24,26141.0,85537.92
1951-52,148608.9,120360.5,47759.3,5811.9,26159.0,85590.7
1951-52,148701.76,120459.4,47758.72,5814.56,26177.0,85643.48
1951-52,148794.62,120558.3,47758.14,5817.22,26195.0,85696.26
1951-52,148887.48,120657.2,47757.56,5819.88,26213.0,85749.04
1951-52,148980.34,120756.1,47756.98,5822.54,26231.0,85801.82
1951-52,149073.2,120855.0,47756.4,5825.2,26249.0,85854.6
1951-52,149166.06,120953.9,47755.82,5827.86,26267.0,85907.38
1951-52,149258.92,121052.8,47755.24,5830.52,26285.0,85960.16
1951-52,149351.78,121151.7,47754.66,5833.18,26303.0,86012.94
1951-52,149444.64,121250.6,47754.08,5835.84,26321.0,86065.72
1951-52,149537.5,121349.5,47753.5,5838.5,26339.0,86118.5
1951-52,149630.36,121448.4,47752.92,5841.16,26357.0,86171.28
1951-52,149723.22,121547.3,47752.34,5843.82,26375.0,86224.06
1951-52,149816.08,121646.2,47751.76,5846.48,26393.0,86276.84
1951-52,149908.94,121745.1,47751.18,5849.14,26411.0,86329.62
1951-52,150001.8,121844.0,47750.6,5851.8,26429.0,86382.4
1951-52,150094.66,121942.9,47750.02,5854.46,26447.0,86435.18
1951-52,150187.52,122041.8,47749.44,5857.12,26465.0,86487.96
1951-52,150280.38,122140.7,47748.86,5859.78,26483.0,86540.74
1951-52,150373.24,122239.6,47748.28,5862.44,26501.0,86593.52
1951-52,150466.1,122338.5,47747.7,5865.1,26519.0,86646.3
1951-52,150558.96,122437.4,47747.12,5867.76,26537.0,86699.08
1951-52,150651.82,122536.3,47746.54,5870.42,26555.0,86751.86
1951-52,150744.68,122635.2,47745.96,5873.08,26573.0,86804.64
1951-52,150837.54,122734.1,47745.38,5875.74,26591.0,86857.42
1951-52,150930.4,122833.0,47744.8,5878.4,26609.0,86910.2
1951-52,151023.26,122931.9,47744.22,5881.06,26627.0,86962.98
1951-52,151116.12,123030.8,47743.64,5883.72,26645.0,87015.76
1951-52,151208.98,123129.7,47743.06,5886.38,26663.0,87068.54
1951-52,151301.84,123228.6,47742.48,5889.04,26681.0,87121.32
1951-52,151394.7,123327.5,47741.9,5891.7,26699.0,87174.1
1951-52,151487.56,123426.4,47741.32,5894.36,26717.0,87226.88
1951-52,151580.42,123525.3,47740.74,5897.02,26735.0,87279.66
1951-52,151673.28,123624.2,47740.16,5899.68,26753.0,87332.44
1951-52,151766.14,123723.1,47739.58,5902.34,26771.0,87385.22
1952-53,151859.0,123822.0,47739.0,5905.0,26789.0,87438.0
1952-53,151859.0,123822.0,47739.0,5905.0,26789.0,87438.0
1952-53,152092.88,124044.72,47792.4,5906.76,26830.48,87488.04
1952-53,152326.76,124267.44,47845.8,5908.52,26871.96,87538.08
1952-53,152560.64,124490.16,47899.2,5910.28,26913.44,87588.12
1952-53,152794.52,124712.88,47952.6,5912.04,26954.92,87638.16
1952-53,153028.4,124935.6,48006.0,5913.8,26996.4,87688.2
1952-53,153262.28,125158.32,48059.4,5915.56,27037.88,87738.24
1952-53,153496.16,125381.04,48112.8,5917.32,27079.36,87788.28
1952-53,153730.04,125603.76,48166.2,5919.08,27120.84,87838.32
1952-53,153963.92,125826.48,48219.6,5920.84,27162.32,87888.36
1952-53,154197.8,126049.2,48273.0,5922.6,27203.8,87938.4
1952-53,154431.68,126271.92,48326.4,5924.36,27245.28,87988.44
1952-53,154665.56,126494.64,48379.8,5926.12,27286.76,88038.48
1952-53,154899.44,126717.36,48433.2,5927.88,27328.24,88088.52
1952-53,155133.32,126940.08,48486.6,5929.64,27369.72,88138.56
1952-53,155367.2,127162.8,48540.0,5931.4,27411.2,88188.6
1952-53,155601.08,127385.52,48593.4,5933.16,27452.68,88238.64
1952-53,155834.96,127608.24,48646.8,5934.92,27494.16,88288.68
1952-53,156068.84,127830.96,48700.2,5936.68,27535.64,88338.72
1952-53,156302.72,128053.68,48753.6,5938.44,27577.12,88388.76
1952-53,156536.6,128276.4,48807.0,5940.2,27618.6,88438.8
